종목,코드,시장,구분,돌파모드,점수,이격ATR,돌파선,돌파봉종가,돌파봉대금_억,돌파봉대금배수,기준봉(KST),돌파봉(KST),_bar_time_full,_base,_match,_early_trigger,_early_tf,_waiting,_current_amount,_current_ratio,_current_level,_current_close,_bar_time
삼성전자,005930,KOSPI,제외,제외,46.88092535426341,3.62,285000.0,284000.0,5854.3,1.35,09-23 14:00,09-23 13:00,2026-09-23 14:00,False,False,False,,False,7798.3333725,1.2546996147965543,285000.0,284250.0,2026-09-23T14:00:00+09:00
SK하이닉스,000660,KOSPI,제외,제외,61.34905242407835,-0.03,1904000.0,1849000.0,4797.3,0.86,09-23 14:00,09-23 13:00,2026-09-23 14:00,False,False,False,,False,6452.25718,0.9231224533558894,1900000.0,1853000.0,2026-09-23T14:00:00+09:00
SK스퀘어,402340,KOSPI,제외,제외,43.949211770519575,3.33,1196000.0,1171000.0,556.0,1.06,09-23 14:00,09-23 13:00,2026-09-23 14:00,False,False,False,,False,1304.4192,1.6022136164080325,1196000.0,1176000.0,2026-09-23T14:00:00+09:00
삼성전기,009150,KOSPI,제외,제외,45.69043162474601,2.27,1544000.0,1496000.0,736.2,0.89,09-23 14:00,09-23 13:00,2026-09-23 14:00,False,False,False,,False,709.77787,0.6914042581660477,1544000.0,1501000.0,2026-09-23T14:00:00+09:00
LG에너지솔루션,373220,KOSPI,제외,제외,50.632059597162424,-1.43,359000.0,351000.0,68.1,0.6,09-23 14:00,09-23 13:00,2026-09-23 14:00,False,False,False,,False,94.231925,0.5200086384897973,359000.0,350500.0,2026-09-23T14:00:00+09:00
현대차,005380,KOSPI,제외,제외,48.02073387487731,-2.38,365500.0,353000.0,163.9,0.88,09-23 14:00,09-23 13:00,2026-09-23 14:00,False,False,False,,False,142.92617,0.5552917064681552,365500.0,353000.0,2026-09-23T14:00:00+09:00
삼성바이오로직스,207940,KOSPI,제외,제외,44.63881779538748,-3.42,1398000.0,1365000.0,62.7,0.93,09-23 14:00,09-23 13:00,2026-09-23 14:00,False,False,False,,False,92.752,1.0615677718865375,1394000.0,1360000.0,2026-09-23T14:00:00+09:00
KB금융,105560,KOSPI,제외,제외,40.45828550285702,-2.16,176900.0,172700.0,115.8,0.71,09-23 14:00,09-23 13:00,2026-09-23 14:00,False,False,False,,False,139.612407,0.6793005949015567,176900.0,172700.0,2026-09-23T14:00:00+09:00
삼성물산,028260,KOSPI,제외,제외,57.15210869816851,0.55,379500.0,366500.0,105.7,0.85,09-23 14:00,09-23 13:00,2026-09-23 14:00,False,False,False,,False,101.8504025,0.6158842946346168,379500.0,365750.0,2026-09-23T14:00:00+09:00
삼성생명,032830,KOSPI,제외,제외,57.65852399186523,0.91,299000.0,292500.0,56.9,0.62,09-23 14:00,09-23 13:00,2026-09-23 14:00,False,False,False,,False,107.66578,0.8514753850344745,299000.0,293000.0,2026-09-23T14:00:00+09:00
한화에어로스페이스,012450,KOSPI,제외,제외,38.75182764273559,-3.83,1064000.0,1022000.0,162.8,1.27,09-23 14:00,09-23 13:00,2026-09-23 14:00,False,False,False,,False,175.24944,0.9941162876419577,1064000.0,1017000.0,2026-09-23T14:00:00+09:00
